Player Distance,P1 f-left,P1 f-right,P1 b-left,P1 b-right,P2 f-left,P2 f-right,P2 b-left,P2 b-right,P1 ball,P2 ball,B f-left,B f-right,B b-left,B b-right,video id,result
168.00297616411441,715.6290938747529,768.0162758692031,473.8143096192853,549.7490336508105,654.3699259593154,872.9009107567708,377.5248336202534,690.1311469568665,1715.270241099052,1685.6348952249416,1039.9312477274639,1314.9741442325017,2014.4805782136496,2169.2929723760226,0,0
170.57549648176317,724.5722876290536,772.4202224178235,470.9352397092407,541.6714871580375,650.0284609153664,867.8968832758878,382.89946461179596,690.8834923487461,1676.7027166435914,1633.0450085652876,991.8896107934593,1276.125777500008,1966.4485754781385,2124.04613885857,0,0
156.00320509528,715.7129312790149,764.1158289160093,478.0376554205746,547.8576457438556,656.5881509744141,860.5114758095908,386.4362819405031,677.2776387863399,1575.3101281969846,1545.0323621206126,898.76192620738,1202.0004159733057,1873.3654208402588,2036.303022636857,0,0
146.05478424207814,713.0112201080709,763.5843109965002,478.0794912982568,550.668684419225,654.0068806977492,851.4135305478766,394.58839313897715,672.9635948548777,1545.007443347766,1513.4926494700924,871.516494393537,1177.2446644601962,1846.243754220986,2008.725964386382,0,0
137.2953021774598,717.8648897947301,769.109875115383,473.08033144488263,547.727121840794,657.2822833455957,846.7632490844179,397.54873915030845,665.6072415471455,1432.4569801568214,1395.6091859829528,750.4858426379541,1088.5866984305844,1725.2112914075192,1896.8779612826968,0,0
128.76334882255898,720.9583899227472,772.984475911386,469.5274219893871,546.0586049134287,658.7359106652681,840.6717552053238,402.3779318004406,659.3208627064671,1364.4533704014952,1323.269058052821,677.3905815701899,1036.6069650547406,1652.160101200849,1829.024056703465,0,0
118.94956914591998,720.0277772419616,776.0541218239872,466.00965655230794,548.620998504432,660.6004844079363,836.6869187455962,405.4232356439379,654.2323746192939,1257.7122087345738,1216.6893605189453,570.087712549569,959.6270108745376,1545.0323621206126,1727.138963720059,0,0
91.39474820797966,710.9613210294917,853.2115798557824,384.24080990961903,608.3954306205792,719.1196006228728,779.133493054945,462.50189188802244,551.2023222012041,1151.2402008269169,1145.2008557454014,456.0,888.020270038922,1431.0,1621.2356398747222,0,0
86.03487664894976,708.0854468212152,853.499267720834,384.0052082980125,611.9934640173864,712.4387692988079,781.7934509830586,458.46919198567747,560.2017493724917,1055.607881743974,1047.7681041146461,363.1377149236912,835.0287420202972,1338.0373686859423,1534.8446175427662,0,0
125.67418191498204,704.5963383384844,852.3966212978556,385.2025441245164,615.2276001611111,700.6925145882465,740.8657098287111,500.14497898109505,555.0288280801277,929.569792968769,909.5284492526883,241.00622398602076,777.946013551069,1215.199160631705,1422.6120342524873,0,0
2.0,688.880976657071,871.5187892409434,369.09619342388237,649.0146377393964,686.9621532515456,870.0028735584727,370.7991370000745,649.9846152025447,782.7036476214992,780.7438760566746,112.60550608207397,731.7185251174116,1081.667693887545,1301.0522664366717,0,0
161.83015788165073,708.9851902543522,722.8222464755771,521.1381774539263,539.8120043126125,829.1905691697175,683.0644186312152,623.0826590429234,408.96454614061594,537.3313688963264,478.22379698212427,758.093002210151,210.60151946270474,1058.1729537273195,767.7095805055451,1,0
121.60592090848209,710.6004503235274,659.4308151732067,589.8966011090419,527.1375532059919,827.7831841732472,682.4727100771137,622.7760432129676,410.35837995586246,426.3906659391127,425.9448321085725,773.7919617054703,267.30132809247317,1016.1835464127531,710.8621526006291,1,0
0.0,762.6067138440363,684.6845989212843,582.0601343503951,475.41350422553205,762.6067138440363,684.6845989212843,582.0601343503951,475.41350422553205,433.7614551801485,433.7614551801485,805.5656397836243,294.24479604574145,1013.0454086564926,681.1057186663462,1,0
66.85057965343307,795.5859475883168,682.1414809260613,602.3968791419823,441.86196939768416,802.4088733307976,626.418390534633,669.2421086572482,443.1986010808247,373.7927233106605,312.553995335206,1011.7835736954816,548.9353331677603,958.8435743123067,443.85245296156694,1,0
68.47627326307996,788.5664207915526,679.5711883239312,601.2586797710284,448.8786027424341,802.4088733307976,626.418390534633,669.2421086572482,443.1986010808247,342.5799176834509,274.14229881577927,917.5543580627799,465.9034234688558,941.1593913891526,510.82384439256555,1,0
138.7984149765407,750.1286556318189,769.1872333833941,481.83814709921006,511.00293541231247,611.3362413598592,711.5616628233986,528.3531016280684,641.6735930362103,364.5408070436011,226.24102192131292,386.79322641432077,646.4000309405933,678.7002283777426,853.7318080053009,2,0
0.0,642.800124455495,704.9907800815554,532.4631442644645,606.0833276043815,642.800124455495,704.9907800815554,532.4631442644645,606.0833276043815,563.1074497820109,563.1074497820109,135.32922818075923,629.4966242959529,959.2648226636896,1139.359908018533,2,0
0.0,658.2719802634774,713.8080974603748,523.8291706272189,592.1123204257786,658.2719802634774,713.8080974603748,523.8291706272189,592.1123204257786,695.1100632274,695.1100632274,136.23509092741122,663.8584186406014,1068.075371872229,1250.1731880023663,2,0
0.0,700.7838468458017,715.8449552801221,526.8519716201126,546.7257081937889,700.7838468458017,715.8449552801221,526.8519716201126,546.7257081937889,872.3909673993651,872.3909673993651,235.28705871764387,725.4488265894432,1201.159856139057,1383.3658229116404,2,0
0.0,670.4520862820848,747.8194969375966,489.77647963127015,591.2774306533271,670.4520862820848,747.8194969375966,489.77647963127015,591.2774306533271,963.8594295850406,963.8594295850406,335.035818980598,790.1347986261585,1307.7744453842183,1490.7508175412818,2,0
